美元$,sku1,sku2,sku3,sku4,sku5
销量,,,,,
总结算额,,,,,
平台成本,,,,,
退款,,,,,
广告费,,,,,
产品成本,,,,,
平台成本占比%,,,,,
退款占比%,,,,,
广告占比%,,,,,
产品成本占比%,,,,,
剩下%,,,,,
利润,,,,,
折扣和税,,,,,
最终利润,,,,,
其他费用和收入（包含所有SKU）：,,,,,
Liquidations和Adjustments,,,,,
FBA Inventory Fee仓储费,,,,,
FBA Transaction fees退货处理费，AWD转运费,,,,,
Service Fee（广告除外）如入库配置费,,,,,
其他,,,,,
盈利,,,,,
备注：平台成本=佣金+fba费，   产品成本=采购成本+头程分摊,,,,,
